,,,"PostMile","Post",,"Back",,,"Ahead",,,
7,10," LA"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
7,"10S"," LA"," ",16.97,"ROUTE 10 S. LOS ANGELES TO EL MONTE: SAN BERNARDINO BUSWAY; BUSES AND HOV","      ","       ","       ","      ","       ","       ",
7,"10S"," LA"," ",16.97,"LOS ANGELES, BEGIN BUSWAY AT ALAMEDA STR                                                                      ","      ","       ","       ",1100,4400,4200,
7,"10S"," LA"," ",17.5,"LOS ANGELES, JCT. RTE. 101,   BUS PLAZA                                                                       ",1100,4400,4200,750,6300,5900,
7,"10S"," LA"," ",18.41,"LOS ANGELES, JCT. RTE. 5,   GOLDEN STATE FREEWAY                                                              ",750,6300,5900,870,7100,7000,
7,"10S"," LA"," ",21.42,"JCT. RTE. 710, LONG BEACH FREEWAY                                                                             ",870,7100,7000,2900,24300,22000,
7,"10S"," LA"," ",25.21,"ALHAMBRA, DEL MAR AVENUE                                                                                      ",2900,24300,22000,2300,22100,20000,
7,"10S"," LA"," ",28.19,"EL MONTE, CONNECTIONS TO   SAN BERNARDINO FREEWAY                                                             ",2300,22100,20000,80,770,700,
7,"10S"," LA"," ",28.61,"EL MONTE BUS STATION, SANTA   ANITA AVENUE; END OF BUSWAY                                                     ",80,770,700,"      ","       ","       ",
7,10," LA"," ","       ","  (BREAK IN ROUTE)                                                                                            ","      ","       ","       ","      ","       ","       ",
7,10," LA","S",0,"LOS ANGELES, JCT. RTE. 101 N  STREET VIA SAN BERNARDINO FREEWAY                                               ","      ","       ","       ",7600,102000,99000,
7,10," LA","S",0.66,"LOS ANGELES, JCT. RTE. 5,   GOLDEN STATE FREEWAY                                                              ",7600,102000,99000,16000,236000,229000,
7,10," LA"," ",19.07,"LOS ANGELES, SOTO STREET                                                                                      ",16000,236000,229000,17600,258000,254000,
7,10," LA"," ",20.2,"CITY TERRACE DRIVE/HERBERT AVENUE                                                                             ",17600,258000,254000,16800,248000,243000,
7,10," LA"," ",21.38,"MONTEREY PARK, JCT. RTE.   710, LONG BEACH FREEWAY                                                            ",16800,248000,243000,16500,234000,228000,
7,10," LA"," ",22.31,"ALHAMBRA, FREMONT AVENUE                                                                                      ",16500,234000,228000,16100,229000,223000,
7,10," LA"," ",23.33,"ALHAMBRA, ATLANTIC BOULEVARD                                                                                  ",16100,229000,223000,16100,229000,223000,
7,10," LA"," ",23.99,"ALHAMBRA, GARFIELD AVENUE                                                                                     ",16100,229000,223000,15900,228000,222000,
7,10," LA"," ",24.83,"MONTEREY PARK, NEW AVENUE                                                                                     ",15900,228000,222000,16200,233000,227000,
7,10," LA"," ",25.33,"SOUTH SAN GABRIEL,   DEL MAR AVENUE                                                                           ",16200,233000,227000,16300,235000,229000,
7,10," LA"," ",25.84,"ROSEMEAD, SAN GABRIEL BOULEVARD                                                                               ",16300,235000,229000,16200,235000,229000,
7,10," LA"," ",26.34,"ROSEMEAD, WALNUT GROVE AVENUE                                                                                 ",16200,235000,229000,16400,238000,232000,
7,10," LA"," ",26.86,"EL MONTE, JCT. RTE. 164,   ROSEMEAD BOULEVARD                                                                 ",16400,238000,232000,15300,226000,220000,
7,10," LA"," ",27.96,"EL MONTE, TEMPLE CITY   BOULEVARD/BALDWIN AVENUE                                                              ",15300,226000,220000,15700,233000,227000,
7,10," LA"," ",28.67,"EL MONTE, SANTA ANITA AVENUE                                                                                  ",15700,233000,227000,15200,226000,220000,
7,10," LA"," ",29.55,"EL MONTE, VALLEY   BOULEVARD/PECK ROAD                                                                        ",15200,226000,220000,14600,221000,216000,
7,10," LA"," ",30.58,"EL MONTE, GARVEY AVENUE                                                                                       ",14600,221000,216000,16000,243000,237000,
7,10," LA"," ",31.15,"BALDWIN PARK, JCT. RTE.   605, SAN GABRIEL RIVER FREEWAY                                                      ",16000,243000,237000,17300,262000,258000,
7,10," LA"," ",31.54,"BALDWIN PARK, BESS AVENUE/   FRAZIER STREET                                                                   ",17300,262000,258000,16100,245000,241000,
7,10," LA"," ",32.22,"BALDWIN PARK, BALDWIN   PARK BOULEVARD                                                                        ",16100,245000,241000,15500,235000,231000,
7,10," LA"," ",32.66,"BALDWIN PARK,   FRANCISQUITO AVENUE                                                                           ",15500,235000,231000,14500,220000,215000,
7,10," LA"," ",33.35,"BALDWIN PARK, PUENTE AVENUE                                                                                   ",14500,220000,215000,14800,224000,219000,
7,10," LA"," ",34.46,"WEST COVINA, ORANGE/   PACIFIC AVENUES                                                                        ",14800,224000,219000,15200,228000,224000,
7,10," LA"," ",35.39,"WEST COVINA, CALIFORNIA/   VINCENT AVENUES                                                                    ",15200,228000,224000,16000,239000,235000,
7,10," LA"," ",36.5,"WEST COVINA, JCT. RTE. 39,   AZUSA AVENUE                                                                     ",16000,239000,235000,15900,236000,232000,
7,10," LA"," ",37.48,"WEST COVINA, CITRUS STREET                                                                                    ",15900,236000,232000,15500,228000,225000,
7,10," LA"," ",38.01,"WEST COVINA, BARRANCA STREET                                                                                  ",15500,228000,225000,15600,228000,223000,
7,10," LA"," ",38.51,"GRAND AVENUE                                                                                                  ",15600,228000,223000,14600,212000,208000,
7,10," LA"," ",38.97,"HOLT AVENUE                                                                                                   ",14600,212000,208000,14700,212000,208000,
7,10," LA"," ",40.46,"VIA VERDE                                                                                                     ",14700,212000,208000,14600,209000,205000,
7,10," LA"," ",42.44,"POMONA, JCT. RTES. 57, 71 AND 210                                                                             ",14600,209000,205000,18300,278000,256000,
7,10," LA"," ",43.66,"POMONA, GANESHA BOULEVARD                                                                                     ",18300,278000,256000,18300,282000,259000,
7,10," LA"," ",44.19,"POMONA, DUDLEY STREET                                                                                         ",18300,282000,259000,18000,282000,259000,
7,10," LA"," ",45.28,"POMONA, WHITE AVENUE                                                                                          ",18000,282000,259000,17100,273000,250000,
7,10," LA"," ",45.73,"POMONA, GAREY AVENUE                                                                                          ",17100,273000,250000,17300,281000,257000,
7,10," LA"," ",46.41,"POMONA, TOWNE AVENUE                                                                                          ",17300,281000,257000,16400,278000,254000,
7,10," LA"," ",47.74,"CLAREMONT, INDIAN HILL BOULEVARD                                                                              ",16400,278000,254000,17000,274000,250000,
7,10," LA"," ",48.27,"LOS ANGELES-SAN BERNARDINO   COUNTY LINE (CLAREMONT EAST CITY LIMITS)                        ",17000,274000,250000,"      ","       ","       ",
8,10,"SBD"," ",0,"LOS ANGELES-SAN BERNARDINO   COUNTY LINE                                                                      ","      ","       ","       ",17000,274000,250000,
8,10,"SBD"," ",0.68,"MONTCLAIR, MONTE VISTA AVENUE                                                                                 ",17000,274000,250000,16600,267000,244000,
8,10,"SBD"," ",1.23,"MONTCLAIR, CENTRAL AVENUE                                                                                     ",16600,267000,244000,16600,267000,244000,
8,10,"SBD"," ",2.37,"UPLAND, MOUNTAIN AVENUE                                                                                       ",16600,267000,244000,17000,262000,243000,
8,10,"SBD"," ",3.47,"UPLAND, JCT. RTE. 83,   EUCLID AVENUE                                                                         ",17000,262000,243000,16500,253000,236000,
8,10,"SBD"," ",5.24,"ONTARIO, FOURTH STREET                                                                                        ",16500,253000,236000,16300,250000,233000,
8,10,"SBD"," ",6.1,"ONTARIO, VINEYARD AVENUE                                                                                      ",16300,250000,233000,16500,251000,235000,
8,10,"SBD"," ",7.16,"ONTARIO, ARCHIBALD AVENUE                                                                                     ",16500,251000,235000,17500,265000,250000,
8,10,"SBD"," ",8.17,"ONTARIO, HAVEN AVENUE                                                                                         ",17500,265000,250000,17600,265000,252000,
8,10,"SBD"," ",9.18,"ONTARIO, MILLIKEN AVENUE                                                                                      ",17600,265000,252000,16200,241000,232000,
8,10,"SBD"," ",9.94,"ONTARIO, JCT. RTE. 15                                                                                         ",16200,241000,232000,13700,196000,189000,
8,10,"SBD"," ",11.13,"ETIWANDA AVENUE                                                                                               ",13700,196000,189000,16300,191000,186000,
8,10,"SBD"," ",13.17,"FONTANA, CHERRY AVENUE                                                                                        ",16300,191000,186000,16200,191000,187000,
8,10,"SBD"," ",15.18,"CITRUS AVENUE                                                                                                 ",16200,191000,187000,15900,190000,186000,
8,10,"SBD"," ",16.22,"FONTANA, SIERRA AVENUE                                                                                        ",15900,190000,186000,15100,183000,179000,
8,10,"SBD","R",18.49,"BLOOMINGTON, CEDAR AVENUE                                                                                     ",15100,183000,179000,14400,177000,173000,
8,10,"SBD"," ",19.97,"RIALTO, RIVERSIDE AVENUE                                                                                      ",14400,177000,173000,14300,178000,174000,
8,10,"SBD"," ",20.97,"PEPPER AVENUE                                                                                                 ",14300,178000,174000,14200,179000,175000,
8,10,"SBD","R",21.96,"COLTON, RANCHO AVENUE                                                                                         ",14200,179000,175000,14000,179000,175000,
8,10,"SBD","R",22.62,"COLTON, LA CADENA DRIVE/   NINTH STREET                                                                       ",14000,179000,175000,13800,180000,176000,
8,10,"SBD","R",23.25,"COLTON, MOUNT VERNON AVENUE                                                                                   ",13800,180000,176000,13600,179000,175000,
8,10,"SBD","R",24.24,"COLTON, JCT. RTE. 215,   RIVERSIDE/SAN BERNARDINO FREEWAYS                                                    ",13600,179000,175000,15500,195000,187000,
8,10,"SBD","R",24.65,"MILEPOST EQUATION   =24.66                                                                                    ",,,,,,,
8,10,"SBD"," ",25.26,"SAN BERNARDINO, WATERMAN AVENUE                                                                               ",15500,195000,187000,14200,177000,169000,
8,10,"SBD"," ",26.27,"TIPPECANOE AVENUE (LOMA   LINDA TURNOFF)                                                                      ",14200,177000,169000,14100,174000,166000,
8,10,"SBD"," ",27.3,"LOMA LINDA, MOUNTAIN   VIEW AVENUE                                                                            ",14100,174000,166000,14000,172000,163000,
8,10,"SBD"," ",28.3,"REDLANDS, CALIFORNIA STREET                                                                                   ",14000,172000,163000,13800,169000,160000,
8,10,"SBD"," ",29.31,"REDLANDS, JCT. RTE. 30,   ALABAMA/TENNESSEE STREETS                                                           ",13800,169000,160000,10800,144000,141000,
8,10,"SBD"," ",30.9,"REDLANDS, JCT. RTE. 38   NORTH, ORANGE STREET                                                                 ",10800,144000,141000,8700,117000,114000,
8,10,"SBD"," ",31.01,"REDLANDS, SIXTH STREET                                                                                        ",8700,117000,114000,9300,126000,122000,
8,10,"SBD"," ",31.87,"REDLANDS, UNIVERSITY STREET                                                                                   ",9300,126000,122000,7600,103000,99000,
8,10,"SBD"," ",32.11,"REDLANDS, CYPRESS AVENUE                                                                                      ",7600,103000,99000,7900,108000,104000,
8,10,"SBD"," ",33.13,"REDLANDS, FORD STREET/   MORRISON AVENUE                                                                      ",7900,108000,104000,7100,98000,94000,
8,10,"SBD"," ",33.29,"REDLANDS, REDLANDS BOULE=   VARD (EAST REDLANDS TURNOFF)                                                      ",7100,98000,94000,7600,106000,101000,
8,10,"SBD"," ",34.29,"REDLANDS, WABASH AVENUE                                                                                       ",7600,106000,101000,7700,108000,102000,
8,10,"SBD"," ",35.5,"YUCAIPA, YUCAIPA BOULEVARD                                                                                    ",7700,108000,102000,6100,86000,81000,
8,10,"SBD","R",37.03,"YUCAIPA, LIVE OAK CANYON ROAD                                                                                 ",6100,86000,81000,5500,77000,73000,
8,10,"SBD","R",37.97,"EASTBOUND ACCESS TO THE WILDWOOD SAFETY  ROADSIDE REST AREA                                          ","      ","       ","       ","      ","       ","       ",
8,10,"SBD","R",39.16,"SAN BERNARDINO COUNTY                                                                                         ","      ","       ","       ","      ","       ","       ",
8,10,"RIV","R",0,"RIVERSIDE COUNTY COUNTY LINE ROAD                                                                             ",5500,77000,73000,4950,70000,66000,
8,10,"RIV","R",0.86,"CALIMESA BOULEVARD/SANDALWOOD DRIVE                                                                           ",4950,70000,66000,5000,72000,67000,
8,10,"RIV","R",1.92,"SINGLETON ROAD                                                                                                ",5000,72000,67000,4950,72000,67000,
8,10,"RIV","R",3.05,"CHERRY VALLEY BOULEVARD                                                                                       ",4950,72000,67000,4650,68000,63000,
8,10,"RIV","R",4.06,"WESTBOUND ACCESS TO THE BROOKSIDE SAFETY ROADSIDE REST AREA                                          ","      ","       ","       ","      ","       ","       ",
8,10,"RIV","R",5.53,"SAN TIMOTEO CANYON ROAD                                                                                       ",4650,68000,63000,4600,67000,62000,
8,10,"RIV","R",6.28,"MILEPOST EQUATION    =6.33                                                                                    ",,,,,,,
8,10,"RIV"," ",6.67,"BEAUMONT, JCT. RTE. 60   WEST, SIXTH STREET                                                                   ",4600,67000,62000,8200,97000,92000,
8,10,"RIV"," ",7.57,"BEAUMONT, JCT. RTE. 79   SOUTH, BEAUMONT AVENUE                                                               ",8200,97000,92000,8500,101000,96000,
8,10,"RIV"," ",8.21,"BEAUMONT, PENNSYLVANIA AVENUE                                                                                 ",8500,101000,96000,8900,104000,99000,
8,10,"RIV"," ",9.31,"BEAUMONT, HIGHLAND SPRINGS AVENUE                                                                             ",8900,104000,99000,8700,101000,96000,
8,10,"RIV"," ",11.33,"BANNING, SUNSET AVENUE                                                                                        ",8700,101000,96000,8600,99000,94000,
8,10,"RIV","R",11.96,"BANNING, 22ND STREET                                                                                          ",8600,99000,94000,8400,96000,91000,
8,10,"RIV","R",12.48,"MILEPOST EQUATION   =12.48                                                                                    ",,,,,,,
8,10,"RIV"," ",12.85,"BANNING, JCT. RTE. 243   SOUTH, 8TH STREET                                                                    ",8400,96000,91000,8000,91000,86000,
8,10,"RIV"," ",13.86,"BANNING, HARGRAVE STREET                                                                                      ",8000,91000,86000,7700,87000,82000,
8,10,"RIV"," ",14.53,"MILEPOST EQUATION  =R14.50                                                                                    ",,,,,,,
8,10,"RIV","R",14.76,"BANNING, EAST RAMSEY STREET                                                                                   ",7700,87000,82000,8100,91000,86000,
8,10,"RIV","R",16.54,"FIELDS ROAD                                                                                                   ",8100,91000,86000,7300,81000,77000,
8,10,"RIV","R",17.66,"APACHE TRAIL ROAD                                                                                             ",7300,81000,77000,6400,71000,67000,
8,10,"RIV","R",19.4,"CABAZON, EAST CABAZON   INTERCHANGE; MAIN STREET                                                              ",6400,71000,67000,6800,74000,70000,
8,10,"RIV","R",24.55,"VERBENIA AVENUE                                                                                               ",6800,74000,70000,6800,75000,71000,
8,10,"RIV","R",25.2,"JCT. RTE. 111 (PALM SPRINGS TURNOFF)                                                                          ",6800,75000,71000,5500,63000,59000,
8,10,"RIV","R",25.73,"MILEPOST EQUATION  =25.82                                                                                     ",,,,,,,
8,10,"RIV"," ",26.11,"WESTBOUND ACCESS TO THE WHITEWATER SAFETY ROADSIDE REST AREA                                          ","      ","       ","       ","      ","       ","       ",
8,10,"RIV"," ",26.25,"EASTBOUND ACCESS TO THE WHITEWATER SAFETY ROADSIDE REST AREA                                          ","      ","       ","       ","      ","       ","       ",
8,10,"RIV"," ",27.23,"WHITEWATER                                                                                                    ",5500,63000,59000,5500,64000,60000,
8,10,"RIV"," ",29.69,"JCT. RTE. 62 NORTH, (TWENTYNINE PALMS TURNOFF);WHITEWATER, EAST                                ",5500,64000,60000,5100,60000,56000,
8,10,"RIV"," ",33.13,"INDIAN AVENUE                                                                                                 ",5100,60000,56000,5100,61000,57000,
8,10,"RIV"," ",36.14,"GENE AUTRY TRAIL                                                                                              ",5100,61000,57000,5200,64000,59000,
8,10,"RIV"," ",39.49,"DATE PALM DRIVE                                                                                               ",5200,64000,59000,5500,70000,64000,
8,10,"RIV"," ",43.36,"RAMON ROAD                                                                                                    ",5500,70000,64000,5600,73000,67000,
8,10,"RIV"," ",44.51,"MONTEREY AVENUE                                                                                               ",5600,73000,67000,5500,72000,66000,
8,10,"RIV"," ",46.89,"COOK STREET                                                                                                   ",5500,72000,66000,5100,69000,63000,
8,10,"RIV"," ",50.45,"WASHINGTON STREET                                                                                             ",5100,69000,63000,4300,59000,54000,
8,10,"RIV","R",52.34,"INDIO, JEFFERSON STREET/   INDIO BOULEVARD                                                                    ",4300,59000,54000,3600,48000,43500,
8,10,"RIV","R",54.74,"INDIO, MONROE STREET                                                                                          ",3600,48000,43500,3300,43000,39000,
8,10,"RIV","R",55.74,"INDIO, JACKSON STREET                                                                                         ",3300,43000,39000,3250,40500,37000,
8,10,"RIV","R",56.95,"INDIO, NORTH JCT. RTE. 111,   AUTO CENTER DRIVE                                                               ",3250,40500,37000,3200,38500,35000,
8,10,"RIV","R",57.83,"INDIO, JCT. RTE. 86S                                                                                          ",3200,38500,35000,1850,21900,19700,
8,10,"RIV","R",58.89,"COACHELLA, DILLON ROAD                                                                                        ",1850,21900,19700,1750,20300,18300,
8,10,"RIV","R",61.31,"MILEPOST EQUATION =R62.03                                                                                     ",,,,,,,
8,10,"RIV","R",72,"CACTUS CITY SAFETY   ROADSIDE REST AREAS                                                                      ","      ","       ","       ","      ","       ","       ",
8,10,"RIV","R",81.55,"COTTONWOOD SPRINGS ROAD                                                                                       ",1750,20300,18300,1750,20300,18300,
8,10,"RIV","R",86.07,"CHIRIACO SUMMIT                                                                                               ",1750,20300,18300,1750,20300,18300,
8,10,"RIV","R",90.12,"HAYFIELD ROAD                                                                                                 ",1750,20300,18300,1750,20300,18300,
8,10,"RIV","R",95.05,"EAGLE MOUNTAIN RAILROAD   OVERHEAD/RED CLOUD ROAD                                                             ",1750,20300,18300,1800,20400,18400,
8,10,"RIV","R",102.01,"EAGLE MOUNTAIN ROAD                                                                                           ",1800,20400,18400,1750,20100,18100,
8,10,"RIV","R",105.1,"JCT. RTE. 177 NORTH                                                                                           ",1750,20100,18100,1500,17100,15400,
8,10,"RIV","R",114.4,"CORN SPRINGS ROAD                                                                                             ",1500,17100,15400,1500,17000,15300,
8,10,"RIV","R",129.94,"FORD DRY LAKE ROAD                                                                                            ",1500,17000,15300,1500,17000,15300,
8,10,"RIV","R",135.05,"WILEYS WELL SAFETY   ROADSIDE REST AREA","                     WILEY'S WELL ROAD                               '",1500,17000,111,1550,18100,111
8,10,"RIV","R",145.12,"MESA DRIVE                                                                                                    ",1550,18100,16300,1650,19100,17100,
8,10,"RIV","R",149.15,"JCT. RTE. 78 SOUTH,   NEIGHBORS BOULEVARD                                                                     ",1650,19100,17100,1750,20400,18200,
8,10,"RIV","R",152.15,"BLYTHE, LOVEKIN BOULEVARD                                                                                     ",1750,20400,18200,1750,20600,18400,
8,10,"RIV","R",153.16,"BLYTHE, SEVENTH AVENUE                                                                                        ",1750,20600,18400,1850,21500,19200,
8,10,"RIV","R",154.17,"JCT. RTE. 95 NORTH,   INTAKE BOULEVARD                                                                        ",1850,21500,19200,1400,22100,21500,
8,10,"RIV","R",156.1,"RIVIERA DRIVE                                                                                                 ",1400,22100,21500,1400,22100,21500,
8,10,"RIV","R",156.49,"ARIZONA STATE LINE   (COLORADO RIVER BRIDGE)                                                                  ",1400,22100,21500,"      ","       ","       ",
4,12,"SON"," ","       ","SONOMA COUNTY                                                                                                 ","      ","       ","       ","      ","       ","       ",
4,12,"SON"," ",9.23,"SEBASTOPOL, JCT. RTE. 116, MAIN STREET                                                                        ","      ","       ","       ",1900,25000,23900,
4,12,"SON"," ",9.54,"SEBASTOPOL EAST CITY LIMITS                                                                                   ",1950,25500,24600,1950,25500,24600,
4,12,"SON","R",12.65,"BEGIN FREEWAY                                                                                                 ",,,,,,,
4,12,"SON","R",12.94,"SANTA ROSA, WRIGHT/FULTON ROADS                                                                               ",2150,29000,27500,2500,33500,32000,
4,12,"SON","R",14.45,"SANTA ROSA, STONY POINT ROAD                                                                                  ",2500,33500,32000,4400,59000,56000,
4,12,"SON","R",15.3,"SANTA ROSA, DUTTON AVENUE                                                                                     ",4400,59000,56000,5100,68000,65000,
4,12,"SON","R",15.73,"MILEPOST EQUATION  =R15.84                                                                                    ",,,,,,,
4,12,"SON","R",16.04,"SANTA ROSA, JCT. RTE. 101,   SEBASTOPOL AVENUE                                                                ",5100,68000,65000,5200,71000,68000,
4,12,"SON","R",16.63,"SANTA ROSA, BENNETT VALLEY ROAD                                                                               ",5200,71000,68000,3350,45000,43000,
4,12,"SON","R",17.08,"SANTA ROSA, BROOKWOOD/   MAPLE AVENUES                                                                        ",3350,45000,43000,4250,56000,53000,
4,12,"SON","R",17.15,"END FREEWAY                                                                                                   ",,,,,,,
4,12,"SON","T",17.53,"SANTA ROSA, FARMERS LANE,   WEST JUNCTION                                                                     ",4250,56000,53000,2950,39000,37000,
4,12,"SON","T",18.54,"SANTA ROSA, FARMERS LANE,   EAST JUNCTION                                                                     ",2750,35500,34000,3200,41000,39500,
4,12,"SON"," ",18.35,"SANTA ROSA, BRUSH CREEK ROAD                                                                                  ",3350,42500,41000,2950,37000,35500,
4,12,"SON"," ",19.44,"SANTA ROSA, MIDDLE RINCON ROAD                                                                                ",3300,41000,39500,3150,39000,37500,
4,12,"SON"," ",20.1,"SANTA ROSA, CALISTOGA ROAD                                                                                    ",2750,33000,32000,2400,28500,27500,
4,12,"SON"," ",21.23,"SANTA ROSA, LOS ALAMOS ROAD                                                                                   ",1950,23800,22800,2000,24400,23300,
4,12,"SON"," ",26.11,"ADOBE CANYON ROAD                                                                                             ",1450,17900,17000,1450,18100,17200,
4,12,"SON"," ",27.03,"KENWOOD, WARM SPRINGS ROAD                                                                                    ",1400,17000,16100,1350,16800,15800,
4,12,"SON"," ",30.07,"TRINITY ROAD                                                                                                  ",1350,16900,15800,1350,17400,16200,
4,12,"SON"," ",30.65,"ARNOLD DRIVE                                                                                                  ",1350,17400,16200,1250,15700,14600,
4,12,"SON"," ",32.86,"MADRONE ROAD                                                                                                  ",1250,16000,14900,1150,14500,13500,
4,12,"SON"," ",33.4,"CAVEDALE ROAD                                                                                                 ",1150,14500,13500,1150,14900,13800,
4,12,"SON"," ",34.25,"AGUA CALIENTE ROAD                                                                                            ",1250,16300,15100,1200,15800,14600,
4,12,"SON"," ",35.11,"BOYES BOULEVARD                                                                                               ",1800,23900,22100,1800,23800,22000,
4,12,"SON"," ",35.95,"VERANO AVENUE                                                                                                 ",1950,26500,24300,1900,26000,24000,
4,12,"SON"," ",36.55,"SONOMA, PETALUMA AVENUE   (RIVERSIDE DRIVE)                                                                   ",1550,20900,19300,1950,27000,24900,
4,12,"SON"," ",37,"SONOMA, FIFTH STREET WEST                                                                                     ",1850,25500,23600,1500,20700,19000,
4,12,"SON"," ",37.51,"SONOMA, FIRST STREET WEST                                                                                     ",1300,18300,16800,1350,18700,17200,
4,12,"SON"," ",37.69,"SONOMA, PATTEN STREET                                                                                         ",1100,14800,13600,1100,14500,13300,
4,12,"SON"," ",38.06,"SONOMA, MAC ARTHUR STREET                                                                                     ",1350,17000,15600,1250,15700,14400,
4,12,"SON"," ",38.69,"NAPA/LEVERONI ROADS                                                                                           ",1350,16700,15300,990,11900,10900,
4,12,"SON"," ",39.41,"WATMAUGH ROAD                                                                                                 ",960,11300,10300,790,9100,8300,
4,12,"SON"," ",41.36,"JCT. RTE. 121; SONOMA, SOUTH                                                                                  ",700,7900,7200,"      ","       ","       ",
4,12,"SON"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
4,12,"NAP"," ","       ","NAPA COUNTY                                                                                                   ","      ","       ","       ","      ","       ","       ",
4,12,"NAP"," ",0,"JCT. RTE. 29; NAPA, SOUTH                                                                                     ","      ","       ","       ",1750,23800,21500,
4,12,"NAP"," ",0.24,"KELLY ROAD                                                                                                    ",1750,23800,21500,2550,32000,31500,
4,12,"NAP"," ",3.31,"NAPA COUNTY                                                                                                   ","      ","       ","       ","      ","       ","       ",
4,12,"SOL"," ",0,"SOLANO COUNTY WEST JCT. RTE. 80                                                                               ",2550,33500,31000,"      ","       ","       ",
4,12,"SOL"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
4,12,"SOL","L",1.8,"FAIRFIELD, EAST JCT. RTE. 80                                                                                  ","      ","       ","       ",2450,32500,30500,
4,12,"SOL","R",3.21,"FAIRFIELD, BECK AVENUE                                                                                        ",2600,34500,32500,2800,37000,35000,
4,12,"SOL","R",4.07,"FAIRFIELD, PENNSYLVANIA AVENUE                                                                                ",2800,37000,35000,3650,48000,45500,
4,12,"SOL","R",5.04,"MARINA BOULEVARD   (MILEPOST EQUATION)                                                                        ",3650,48000,45500,2900,38000,36000,
4,12,"SOL"," ",5.76,"GRIZZLY ISLAND ROAD/SUNSET AVENUE                                                                             ",2900,38000,36000,2150,27500,26500,
4,12,"SOL"," ",7.16,"SCANDIA ROAD                                                                                                  ",1450,18800,18000,960,13100,12500,
4,12,"SOL"," ",8.89,"SCALLY ROAD                                                                                                   ",960,13100,12500,830,12500,11300,
4,12,"SOL"," ",19.17,"JCT. RTE. 113 NORTH                                                                                           ",700,12000,10500,1050,14900,13300,
4,12,"SOL"," ",25.58,"RIO VISTA, DROUIN DRIVE                                                                                       ",1150,16300,14700,1200,17000,15600,
4,12,"SOL"," ",26.28,"RIO VISTA, JCT. RTE. 84 NORTH                                                                                 ",1400,18900,18000,1550,16900,15500,
4,12,"SOL"," ",26.41,"SOLANO-SACRAMENTO COUNTY LINE                                                                                 ",1550,16900,15500,"      ","       ","       ",
3,12,"SAC"," ",0,"SOLANO-SACRAMENTO COUNTY LINE                                                                                 ","      ","       ","       ",1550,16900,15500,
3,12,"SAC"," ",0.57,"JCT. RTE. 160                                                                                                 ",1550,16900,15500,1500,16300,13900,
3,12,"SAC"," ",5.65,"ISLETON/TERMINOUS ROADS                                                                                       ",1500,16300,13900,1550,17100,14200,
3,12,"SAC"," ",6.2,"SACRAMENTO-SAN JOAQUIN   COUNTY LINE                                                                          ",1550,17100,14200,"      ","       ","       ",
10,12," SJ"," ",0,"SACRAMENTO-SAN JOAQUIN   COUNTY LINE                                                                          ","      ","       ","       ",1550,17100,14200,
10,12," SJ"," ",5.39,"TOWER PARKWAY                                                                                                 ",1550,17100,14200,1550,17300,14400,
10,12," SJ"," ",8.83,"GUARD ROAD                                                                                                    ",1550,17300,14400,1200,12600,11300,
10,12," SJ"," ",10.17,"JCT. RTE. 5                                                                                                   ",1200,12600,11300,1150,12900,11500,
10,12," SJ"," ",10.3,"THORNTON ROAD                                                                                                 ",1150,12900,11500,960,10500,9400,
10,12," SJ"," ",15.16,"LOWER SACRAMENTO ROAD                                                                                         ",990,10800,9800,2150,26500,24500,
10,12," SJ"," ",16,"MILEPOST EQUATION  =16.29                                                             ",,,,,,,
10,12," SJ"," ",16.44,"LODI, SOUTH HAM LANE                                                                                          ",3150,40000,37000,2250,27500,25500,
10,12," SJ"," ",16.93,"LODI, SOUTH HUTCHINS STREET                                                                                   ",2400,30500,27500,2450,31000,28000,
10,12," SJ"," ",17.7,"LODI, CENTRAL AVENUE                                                                                          ",2200,28500,25500,1900,23900,21900,
10,12," SJ"," ",17.95,"LODI, CHEROKEE LANE                                                                                           ",2150,26500,24200,1750,20400,18700,
10,12," SJ"," ",18.07,"LODI, SOUTH JCT. RTE. 99                                                                                      ",2000,24400,21500,"      ","       ","       ",
10,12," SJ"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
10,12," SJ"," ",18.08,"LODI, NORTH JCT. RTE. 99                                                                                      ","      ","       ","       ",1050,11700,10400,
10,12," SJ"," ",18.36,"LODI, CLUFF AVENUE                                                                                            ",1050,11700,10400,970,11000,9700,
10,12," SJ"," ",20.9,"VICTOR BRUELLA ROAD                                                                                           ",890,10300,8900,920,8900,8100,
10,12," SJ","L",23.29,"WEST JCT. RTE. 88;   LOCKEFORD, SOUTH                                                                         ",610,7300,6900,"      ","       ","       ",
10,12," SJ"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
10,12," SJ"," ",23.17,"CLEMENTS, EAST JCT. RTE. 88                                                                                   ","      ","       ","       ",830,8000,7100,
10,12,"SJ"," ",27.64,"SAN JOAQUIN COUNTY-CALAVERAS COUNTY                                                                           ",700,6900,6900,710,7500,6900,
