"District","Route","County","Prefix","Postmile","Description","Back Peak Hour","Back Peak Month","Back AADT","Ahead Peak Hour","Ahead Peak Month","Ahead AADT",
2,3,"SIS"," ",21.47,"ETNA, COLLIER WAY                                                                                             ",250,2250,1650,230,2600,2950,
2,3,"SIS"," ",32.2,"FORT JONES, SCOTT RIVER ROAD                                                                                  ",350,3400,2850,460,4950,4350,
2,3,"SIS"," ",38.26,"MOFFETT CREEK ROAD                                                                                            ",340,3350,2500,290,3250,2500,
2,3,"SIS"," ",41.57,"FOREST MOUNTAIN SUMMIT   (ELEV. 4097 FEET)                                                                    ","      ","       ","       ","      ","       ","       ",
2,3,"SIS"," ",44.67,"FOREST MOUNTAIN RANCH                                                                                         ",340,3600,2700,340,3600,2800,
2,3,"SIS"," ",45.21,"MILEPOST EQUATION =R44.89                                                                              ",,,,,,,
2,3,"SIS","L",47.26,"YREKA, JERRYS ROAD   (CONNECTION TO I-5)                                                                     '",1700,15000,13000,1700,10700,10300,
2,3,"SIS","L",48.16,"YREKA, OBERLIN ROAD                                                                                           ",1700,10700,10300,1100,11400,10400,
2,3,"SIS","L",49.21,"YREKA, CENTER STREET                                                                                          ",1100,11400,10400,1200,10900,9500,
2,3,"SIS","L",49.87,"YREKA, JCT. RTE. 263 NORTH                                                                                    ",550,5000,4950,500,4200,4100,
2,3,"SIS","L",50.16,"YREKA, JCT. RTE. 5   (MILEPOST EQUATION)                                                                      ",500,4200,4100,300,3050,2850,
2,3,"SIS","R",48.96,"YREKA, AGER ROAD                                                                                              ",300,3050,2850,410,3050,2850,
2,3,"SIS","R",49.45,"YREKA, PHILIPE LANE                                                                                           ",410,3050,2850,390,3350,2950,
2,3,"SIS","R",49.64,"MILEPOST EQUATION  =50.02                                                                                     ",,,,,,,
2,3,"SIS"," ",53.22,"MONTAGUE, GRENADA ROAD                                                                                        ",340,2750,2400,320,3100,2800,
2,3,"SIS"," ",54.19,"MONTAGUE EAST CITY LIMITS                                                                                     ",130,880,800,"      ","       ","       ",
4,4," CC"," ","       ","CONTRA COSTA COUNTY                                                                                           ","      ","       ","       ","      ","       ","       ",
4,4," CC"," ",0,"HERCULES, JCT. RTE. 80                                                                                        ","      ","       ","       ",2400,30500,27000,
4,4," CC","R",0.78,"HERCULES, WILLOW AVENUE                                                                                       ",2400,30500,27000,2950,32500,31000,
4,4," CC","T",4.7,"BEGIN FREEWAY                                                                                                 ",,,,,,,
4,4," CC","T",4.89,"CUMMINGS SKYWAY                                                                                               ",2850,31500,30000,3450,37500,36000,
4,4," CC","T",4.93,"MILEPOST EQUATION   =R4.51                                                                                    ",,,,,,,
4,4," CC","R",5.17,"MC EWEN ROAD                                                                                                  ",3450,37500,36000,3700,38500,37000,
4,4," CC","R",8.55,"MARTINEZ, ALHAMBRA   BOULEVARD                                                                                ",3700,38500,37000,5100,55000,53000,
4,4," CC","R",9.19,"MARTINEZ, PINE STREET                                                                                         ",5100,55000,53000,5100,56000,54000,
4,4," CC","R",10.33,"MARTINEZ, MORELLO AVENUE                                                                                      ",5100,56000,54000,6000,69000,67000,
4,4," CC","R",11.13,"MARTINEZ, MILANO WAY                                                                                          ",6000,69000,67000,6500,75000,73000,
4,4," CC","R",11.72,"MILEPOST EQUATION   =12.30                                                                                    ",,,,,,,
4,4," CC"," ",12.67,"JCT. RTE. 680                                                                                                 ",6500,75000,73000,6800,79000,77000,
4,4," CC"," ",13,"MILEPOST EQUATION  =R12.98                                                                                    ",,,,,,,
4,4," CC","R",13.65,"SOLANO WAY                                                                                                    ",6800,79000,77000,6100,72000,70000,
4,4," CC","R",14.67,"CONCORD, JCT. RTE. 242                                                                                        ",6100,72000,70000,6200,75000,73000,
4,4," CC","R",15.42,"CONCORD, PORT CHICAGO   HIGHWAY WEST                                                                          ",6200,75000,73000,9300,115000,111000,
4,4," CC","R",16.83,"CONCORD, WILLOW PASS ROAD                                                                                     ",9300,115000,111000,8800,113000,109000,
4,4," CC","R",18.83,"PORT CHICAGO HIGHWAY   EAST (TO PITTSBURG)                                                                    ",8800,113000,109000,7500,104000,100000,
4,4," CC","R",20.1,"BAILEY ROAD                                                                                                   ",7500,104000,100000,6600,96000,92000,
4,4," CC"," ",23.05,"PITTSBURG, RAILROAD AVENUE                                                                                    ",6600,96000,92000,6100,90000,86000,
4,4," CC"," ",24.32,"PITTSBURG, LOVERIDGE ROAD                                                                                     ",6100,90000,86000,6200,91000,87000,
4,4," CC"," ",26.04,"ANTIOCH, SOMERSVILLE ROAD                                                                                     ",6200,91000,87000,6500,97000,93000,
4,4," CC"," ",26.94,"ANTIOCH, CONTRA LOMA   BOULEVARD                                                                              ",6500,97000,93000,5900,89000,85000,
4,4," CC"," ",27.29,"ANTIOCH, G STREET                                                                                             ",5900,89000,85000,5400,82000,78000,
4,4," CC","R",27.79,"ANTIOCH, A STREET                                                                                             ",5400,82000,78000,4250,65000,62000,
4,4," CC","R",28.94,"ANTIOCH, HILLCREST AVENUE                                                                                     ",4250,65000,62000,2400,36000,34500,
4,4," CC"," ",31.13,"JCT. RTE. 160; END FREEWAY                                                                                    ",2400,36000,34500,2850,44000,41000,
4,4," CC","T",32.76,"OAKLEY ROAD/CHARLES WAY                                                                                       ",2350,36000,33500,2150,32500,30000,
4,4," CC","T",32.88,"MILEPOST EQUATION  =32.95                                                                                     ",,,,,,,
4,4," CC"," ",33.82,"OAKLEY, OHARA ROAD                                                                                           '",2200,33000,30500,2250,33500,31000,
4,4," CC","R",34.92,"CYPRESS ROAD                                                                                                  ",1800,26500,24300,1400,20900,19000,
4,4," CC","R",35.24,"MILEPOST EQUATION  =35.38                                                                                     ",,,,,,,
4,4," CC"," ",36.58,"DELTA ROAD                                                                                                    ",1550,23000,20800,1600,23100,20700,
4,4," CC"," ",37.07,"LONE TREE WAY                                                                                                 ",1600,23300,20800,1950,28000,24900,
4,4," CC","R",38.77,"BRENTWOOD, SPRUCE STREET                                                                                      ",1950,28000,24900,1700,24400,21700,
4,4," CC","R",39.24,"MILEPOST EQUATION  =39.26                                                                                     ",,,,,,,
4,4," CC"," ",39.74,"BRENTWOOD SOUTH CITY LIMITS                                                                                   ",1150,16300,14400,1350,18600,17100,
4,4," CC"," ",42.82,"MILEPOST EQUATION =M42.85                                                                                     ",,,,,,,
4,4," CC"," ",43.97,"MARSH CREEK ROAD                                                                                              ",1450,19500,17900,1750,23200,21700,
4,4," CC","R",44.37,"JUNCTION BYRON HIGHWAY                                                                                        ",1750,23200,21700,1350,17000,16100,
4,4," CC","R",44.53,"MILEPOST EQUATION   =44.60                                                                                    ",,,,,,,
4,4," CC"," ",46.46,"DISCOVERY BAY BOULEVARD                                                                                       ",1350,17000,16100,650,7200,6100,
4,4," CC"," ",48.39,"CONTRA COSTA-SAN JOAQUIN   COUNTY LINE (OLD RIVER BRIDGE)                                                     ",650,7200,6100,"      ","       ","       ",
10,4," SJ"," ",0,"CONTRA COSTA-SAN JOAQUIN   COUNTY LINE (OLD RIVER BRIDGE)                                                     ","      ","       ","       ",800,7800,7000,
10,4," SJ"," ",5.96,"TRACY BOULEVARD                                                                                               ",800,7800,7000,760,7900,7100,
10,4," SJ","R",8.86,"MILEPOST EQUATION   =8.90                                                             ",,,,,,,
10,4," SJ"," ",10.49,"INLAND DRIVE                                                                                                  ",720,7600,6800,820,8600,7600,
10,4," SJ"," ",11.68,"MAYBECK ROAD                                                                                                  ",820,8600,7600,1000,10500,9300,
10,4," SJ"," ",15.08,"STOCKTON, FRESNO AVENUE                                                                                       ",920,9600,8400,1350,13200,11900,
10,4," SJ"," ",15.8,"STOCKTON, NAVY DRIVE/   STOCKTON STREET                                                                       ",2050,23000,21100,2050,23600,21600,
10,4," SJ"," ",15.91,"STOCKTON, SOUTH JCT. RTE. 5                                                                                   ",2050,23600,21600,"      ","       ","       ",
10,4," SJ"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
10,4," SJ","T",15.32,"STOCKTON, FRESNO AVENUE;   BEGIN CROSSTOWN FREEWAY                                                            ","      ","       ","       ",1800,21100,16600,
10,4," SJ","R",16.06,"STOCKTON, NORTH JCT.   RTE 5; BEGIN FREEWAY                                                                   ",1550,15200,14600,6500,76000,72000,
10,4," SJ","R",17.05,"STOCKTON, STANISLAUS STREET                                                                                   ",6500,76000,72000,7700,89000,84000,
10,4," SJ","R",17.7,"STOCKTON , WILSON WAY                                                                                         ",7700,89000,84000,6400,78000,73000,
10,4," SJ","R",18.77,"STOCKTON, FILBERT STREET                                                                                      ",6400,78000,73000,5800,71000,66000,
10,4," SJ","R",19.44,"STOCKTON, NORTH JCT. RTE. 99                                                                                  ",5800,71000,66000,"      ","       ","       ",
10,4," SJ"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
10,4," SJ"," ",19.75,"SOUTH JCT. RTE. 99   AT FARMINGTON ROAD                                                                       ","      ","       ","       ",790,8400,7500,
10,4," SJ"," ",20.69,"WALKER LANE                                                                                                   ",510,5600,4850,460,4900,4200,
10,4," SJ"," ",24.87,"JACK TONE ROAD                                                                                                ",380,3900,3350,410,4100,3500,
10,4," SJ"," ",33.1,"FARMINGTON                                                                                                    ",450,4350,3700,660,4850,4300,
10,4," SJ"," ",34.14,"SONORA ROAD (TO VALLEY HOME)                                                                                  ",550,4450,3850,510,4100,3500,
10,4,"SJ"," ",38.06,"SAN JOAQUIN COUNTY-STANISLAUS COUNTY                                                                          ",530,4100,3500,510,4000,3500,
10,4,"STA","R",3.1,"MILEPOST EQUATION    =3.12                                                                                    ",,,,,,,
10,4,"STA"," ",4.54,"MILTON ROAD                                                                                                   ",510,4000,3500,600,4650,4050,
10,4,"STA"," ",7.81,"MILEPOST EQUATION  =T8.03                                                                                     ",,,,,,,
10,4,"STA","R",8.89,"STANISLAUS COUNTY-CALAVERAS COUNTY                                                                            ",620,4950,4200,620,4950,4200,
10,4,"CAL","R",7.32,"HODSON ROAD/REEDS TURNPIKE                                                                                    ",680,5300,4650,540,4400,3850,
10,4,"CAL","R",8.14,"O BYRNES FERRY ROAD                                                                                          '",540,4400,3850,430,4050,3550,
10,4,"CAL","R",10.55,"MILEPOST EQUATION  =12.49                                                                                     ",,,,,,,
10,4,"CAL","R",21.09,"ANGELS CAMP, WEST JCT. RTE. 49                                                                                ",430,4050,3550,"      ","       ","       ",
10,4,"CAL"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
10,4,"CAL"," ",21.38,"ANGELS CAMP, EAST JCT. RTE. 49                                                                                ","      ","       ","       ",560,6600,5500,
10,4,"CAL"," ",22.23,"ROLLERI BYPASS ROAD                                                                                           ",600,6200,5200,600,6200,5200,
10,4,"CAL"," ",26.22,"VALLECITO                                                                                                     ",640,6600,5500,790,8000,6700,
10,4,"CAL"," ",29.62,"BIG TREES/TOMBELL ROADS                                                                                       ",870,8800,7300,940,9500,7900,
10,4,"CAL"," ",37.35,"AVERY, MORAN ROAD WEST JUNCTION                                                                               ",1050,9900,8100,1000,9000,7300,
10,4,"CAL"," ",41.52,"WHITE PINES ROAD                                                                                              ",1300,11200,9000,950,7600,6100,
10,4,"CAL","R",42.62,"MORAN ROAD EAST JUNCTION                                                                                      ",920,7000,5600,830,4450,3100,
10,4,"CAL","R",42.74,"MILEPOST EQUATION   =42.83                                                                                    ",,,,,,,
10,4,"CAL"," ",44.5,"BIG TREES STATE PARK                                                                                          ",830,4450,3100,830,4250,2950,
10,4,"CAL","R",47.14,"DORRINGTON                                                                                                    ",880,4300,2950,560,2800,1950,
10,4,"CAL","R",48.16,"MILEPOST EQUATION  =48.14                                                                                     ",,,,,,,
10,4,"CAL"," ",49.57,"MEKO DRIVE                                                                                                    ",480,2350,1600,530,2450,1650,
10,4,"CAL","R",62.84,"BIG MEADOWS                                                                                                   ",540,2250,1500,520,2050,1350,
10,4,"CAL","R",65.87,"CALAVERAS COUNTY-ALPINE COUNTY                                                                                ",490,1800,1200,490,1800,1200,
10,4,"ALP","R",2.9,"MOUNT REBA ROAD                                                                                               ",490,1800,1200,270,1350,950,
10,4,"ALP"," ",3.89,"LAKE ALPINE                                                                                                   ",270,1350,950,250,1250,840,
10,4,"ALP"," ",18.56,"EBBETTS PASS SUMMIT   (ELEV. 8730 FEET)                                                                       ",130,680,430,130,680,430,
10,4,"ALP"," ",31.68,"BULLION, JCT. RTE. 89                                                                                         ",150,800,480,"      ","       ","       ",
11,5," SD"," ","       ","SAN DIEGO COUNTY                                                                                              ","      ","       ","       ","      ","       ","       ",
11,5," SD","R",0.09,"SAN DIEGO SOUTH CITY LIMITS   INTERNATIONAL BOUNDARY; BEGIN FREEWAY                                           ","      ","       ","       ",8100,112000,107000,
11,5," SD","R",0.31,"SAN DIEGO, CAMINO PLAZA                                                                                       ",8100,112000,107000,8000,111000,106000,
11,5," SD","R",0.88,"SAN DIEGO, JCT. RTE. 805                                                                                      ",8000,111000,106000,3800,52000,50000,
11,5," SD","R",1.2,"SAN DIEGO, VIA SAN YSIDRO                                                                                     ",3800,52000,50000,4950,68000,65000,
11,5," SD"," ",2.31,"SAN DIEGO, DAIRY MART ROAD                                                                                    ",4950,68000,65000,5800,80000,76000,
11,5," SD"," ",3.1,"SAN DIEGO, JCT. RTE. 905                                                                                      ",5800,80000,76000,7700,107000,102000,
11,5," SD"," ",4.04,"SAN DIEGO, CORONADO AVENUE                                                                                    ",7700,107000,102000,8700,121000,115000,
11,5," SD"," ",4.63,"SAN DIEGO, JCT. RTE. 75   WEST, PALM AVENUE                                                                   ",8700,121000,115000,12300,152000,146000,
11,5," SD"," ",5.4,"CHULA VISTA, MAIN STREET                                                                                      ",12300,152000,146000,12400,153000,147000,
11,5," SD"," ",6.06,"CHULA VISTA, PALOMAR STREET                                                                                   ",12400,153000,147000,12300,152000,146000,
11,5," SD"," ",6.81,"CHULA VISTA, L STREET                                                                                         ",12300,152000,146000,13100,161000,155000,
11,5," SD"," ",7.3,"CHULA VISTA, J STREET                                                                                         ",13100,161000,155000,13300,164000,158000,
11,5," SD"," ",7.81,"CHULA VISTA, H STREET                                                                                         ",13300,164000,158000,13500,166000,161000,
11,5," SD"," ",8.56,"CHULA VISTA, E STREET                                                                                         ",13500,166000,161000,11300,139000,135000,
11,5," SD"," ",9.4,"NATIONAL CITY, JCT. RTE. 54                                                                                   ",11300,139000,135000,15200,186000,181000,
11,5," SD","R",10.04,"NATIONAL CITY, 24TH STREET                                                                                    ",15200,186000,181000,15100,185000,180000,
11,5," SD","R",10.75,"NATIONAL CITY, 9TH STREET                                                                                     ",15100,185000,180000,14400,177000,172000,
11,5," SD","R",11.13,"NATIONAL CITY, 8TH STREET                                                                                     ",14400,177000,172000,15900,192000,186000,
11,5," SD","R",11.66,"SAN DIEGO, DIVISION/MAIN STREETS                                                                              ",15900,192000,186000,16100,194000,188000,
11,5," SD","R",12.65,"SAN DIEGO, JCT. RTE. 15   NORTH, WABASH BOULEVARD                                                             ",16100,194000,188000,13000,157000,153000,
11,5," SD","R",13.39,"SAN DIEGO, 28TH STREET                                                                                        ",13000,157000,153000,13600,164000,160000,
11,5," SD","R",14.08,"SAN DIEGO, JCT. RTE. 75 SOUTH                                                                                 ",13600,164000,160000,15300,184000,179000,
11,5," SD","R",14.74,"SAN DIEGO, J STREET                                                                                           ",15300,184000,179000,15200,186000,178000,
11,5," SD","R",15.04,"SAN DIEGO, JCT. RTE. 94                                                                                       ",15200,186000,178000,16100,196000,188000,
11,5," SD","R",15.41,"SAN DIEGO, PERSHING DRIVE                                                                                     ",16100,196000,188000,17500,214000,205000,
11,5," SD","R",16.07,"SAN DIEGO, JCT. RTE. 163                                                                                      ",17500,214000,205000,16300,200000,191000,
11,5," SD","R",16.31,"SAN DIEGO, SIXTH AVENUE                                                                                       ",16300,200000,191000,17300,211000,202000,
11,5," SD","R",16.59,"SAN DIEGO, FIRST AVENUE                                                                                       ",17300,211000,202000,13700,167000,160000,
11,5," SD","R",16.91,"SAN DIEGO, HAWTHORN STREET                                                                                    ",13700,167000,160000,16000,195000,187000,
11,5," SD","R",17.21,"SAN DIEGO, LAUREL STREET                                                                                      ",16000,195000,187000,16200,198000,189000,
11,5," SD","R",17.53,"SAN DIEGO, PACIFIC HIGHWAY VIADUCT                                                                            ",16200,198000,189000,13200,160000,149000,
11,5," SD","R",17.77,"SAN DIEGO, SASSAFRAS STREET                                                                                   ",13200,160000,149000,12800,156000,145000,
11,5," SD","R",18.28,"SAN DIEGO, WASHINGTON STREET                                                                                  ",12800,156000,145000,16500,200000,186000,
11,5," SD","R",19.03,"SAN DIEGO, OLD TOWN AVENUE                                                                                    ",16500,200000,186000,16900,196000,190000,
11,5," SD","R",20.06,"SAN DIEGO, JCT. RTES. 8 AND 209                                                                               ",16900,196000,190000,17500,220000,205000,
11,5," SD","R",20.82,"SAN DIEGO, MISSION BAY/   SEA WORLD DRIVES                                                                    ",17500,220000,205000,18900,230000,217000,
11,5," SD","R",22.26,"SAN DIEGO, CLAIREMONT DRIVE                                                                                   ",18900,230000,217000,17600,214000,202000,
11,5," SD","R",22.87,"SAN DIEGO, DE ANZA ROAD                                                                                       ",17600,214000,202000,13800,167000,158000,
11,5," SD","R",23.48,"SAN DIEGO, JCT. RTE. 274                                                                                      ",13800,167000,158000,12300,149000,141000,
11,5," SD","R",23.93,"SAN DIEGO, MISSION BAY DRIVE                                                                                  ",12300,149000,141000,16600,215000,195000,
11,5," SD","R",25.95,"SAN DIEGO, JCT. RTE. 52 EAST                                                                                  ",16600,215000,195000,15400,199000,181000,
11,5," SD","R",26.79,"SAN DIEGO, GILMAN DRIVE                                                                                       ",15400,199000,181000,13700,177000,161000,
11,5," SD","R",28.16,"SAN DIEGO, NOBEL DRIVE                                                                                        ",13700,177000,161000,12000,155000,141000,
11,5," SD","R",28.43,"SAN DIEGO, LA JOLLA DRIVE                                                                                     ",12000,155000,141000,11900,154000,140000,
11,5," SD","R",29.46,"SAN DIEGO, GENESEE AVENUE                                                                                     ",11900,154000,140000,11700,152000,138000,
11,5," SD","R",30.43,"SAN DIEGO, SORRENTO   VALLEY ROAD                                                                             ",11700,152000,138000,8800,126000,116000,
11,5," SD","R",30.68,"SAN DIEGO, JCT. RTE. 805 SOUTH                                                                                ",8800,126000,116000,18500,262000,245000,
11,5," SD","R",32.9,"SAN DIEGO, CARMEL VALLEY ROAD                                                                                 ",18500,262000,245000,17600,248000,232000,
11,5," SD","R",34.13,"SAN DIEGO, DEL MAR   HEIGHTS ROAD                                                                             ",17600,248000,232000,17200,242000,227000,
11,5," SD","R",36.27,"SAN DIEGO, VIA DE LA VALLE                                                                                    ",17200,242000,227000,15800,225000,209000,
11,5," SD","R",37.38,"SOLANA BEACH, LOMAS   SANTA FE DRIVE                                                                          ",15800,225000,209000,16000,227000,211000,
11,5," SD","R",38.62,"ENCINITAS, MANCHESTER AVENUE                                                                                  ",16000,227000,211000,14200,203000,188000,
11,5," SD","R",39.83,"ENCINITAS, BIRMINGHAM DRIVE                                                                                   ",14200,203000,188000,14100,202000,187000,
11,5," SD","R",40.6,"ENCINITAS, SANTA FE DRIVE                                                                                     ",14100,202000,187000,14500,206000,187000,
11,5," SD","R",41.51,"ENCINITAS, ENCINITAS BOULEVARD                                                                                ",14500,206000,187000,14500,206000,187000,
11,5," SD","R",42.71,"ENCINITAS, LEUCADIA BOULEVARD                                                                                 ",14500,206000,187000,14100,200000,182000,
11,5," SD","R",44.07,"CARLSBAD, LA COSTA AVENUE                                                                                     ",14100,200000,182000,14100,200000,182000,
11,5," SD","R",45.57,"CARLSBAD, POINSETTIA LANE                                                                                     ",14100,200000,182000,13900,197000,179000,
11,5," SD","R",47.03,"CARLSBAD, PALOMAR AIRPORT ROAD                                                                                ",13900,197000,179000,14000,199000,181000,
11,5," SD","R",47.98,"CARLSBAD, CANNON ROAD                                                                                         ",14000,199000,181000,15000,209000,192000,
11,5," SD","R",49.28,"CARLSBAD, TAMARACK AVENUE                                                                                     ",15000,209000,192000,14600,203000,187000,
11,5," SD","R",50.11,"CARLSBAD, ELM AVENUE                                                                                          ",14600,203000,187000,14600,203000,187000,
11,5," SD","R",50.68,"CARLSBAD, LAS FLORES DRIVE                                                                                    ",14600,203000,187000,15000,209000,192000,
11,5," SD","R",51.2,"OCEANSIDE, JCT. RTE. 78   EAST, VISTA WAY                                                                     ",15000,209000,192000,14600,192000,184000,
11,5," SD","R",51.47,"OCEANSIDE, CASSIDY STREET                                                                                     ",14600,192000,184000,14400,189000,181000,
11,5," SD","R",51.85,"OCEANSIDE, CALIFORNIA STREET                                                                                  ",14400,189000,181000,14300,188000,180000,
11,5," SD","R",52.3,"OCEANSIDE, OCEANSIDE BOULEVARD                                                                                ",14300,188000,180000,14500,197000,178000,
11,5," SD","R",53.43,"OCEANSIDE,   MISSION AVENUE                                                                                   ",14500,197000,178000,12400,169000,152000,
11,5," SD","R",53.93,"OCEANSIDE,   JCT. RTE. 76                                                                                     ",12400,169000,152000,12000,163000,147000,
11,5," SD","R",54.39,"CAMP PENDLETON                                                                                                ",12000,163000,147000,11400,144000,127000,
11,5," SD","R",59.44,"NORTHBOUND ACCESS TO   ALISO CREEK SAFETY  ROADSIDE REST AREA                                         ","      ","       ","       ","      ","       ","       ",
11,5," SD","R",59.96,"SOUTHBOUND ACCESS TO   ALISO CREEK SAFETY  ROADSIDE REST AREA                                         ","      ","       ","       ","      ","       ","       ",
11,5," SD","R",62.08,"LAS PULGAS ROAD                                                                                               ",11400,144000,127000,11100,140000,124000,
11,5," SD","R",71.38,"BASILONE ROAD INTERCHANGE                                                                                     ",11100,140000,124000,11900,150000,133000,
11,5," SD","R",72.37,"SAN DIEGO-ORANGE   COUNTY LINE AT CHRISTIANITOS ROAD                                                          ",11900,150000,133000,"      ","       ","       ",
12,5,"ORA"," ",0,"SAN DIEGO-ORANGE   COUNTY LINE AT CHRISTIANITOS ROAD                                                          ","      ","       ","       ",10600,137000,123000,
12,5,"ORA"," ",1,"SAN CLEMENTE, AVENIDA CALIFIA                                                                                 ",10600,137000,123000,11200,153000,140000,
12,5,"ORA"," ",1.63,"SAN CLEMENTE, EL CAMINO REAL                                                                                  ",11200,153000,140000,11400,163000,154000,
12,5,"ORA"," ",2.31,"SAN CLEMENTE, AVENIDA PRESIDIO                                                                                ",11400,163000,154000,11400,162000,153000,
12,5,"ORA"," ",2.66,"SAN CLEMENTE, AVENIDA PALIZADA                                                                                ",11400,162000,153000,13300,188000,178000,
12,5,"ORA"," ",3.39,"SAN CLEMENTE, AVENIDA PICO                                                                                    ",13300,188000,178000,15100,212000,200000,
12,5,"ORA"," ",5.8,"DANA POINT, CAMINO ESTRELLA                                                                                   ",15100,212000,200000,16200,227000,214000,
12,5,"ORA"," ",6.78,"SAN JUAN CAPISTRANO,   JCT. RTE. 1, PACIFIC COAST HIGHWAY                                                     ",16200,227000,214000,15200,212000,200000,
12,5,"ORA"," ",7.34,"SAN JUAN CAPISTRANO,   CAMINO CAPISTRANO ON RAMP                                                              ",15200,212000,200000,16300,226000,213000,
12,5,"ORA"," ",8.8,"SAN JUAN CAPISTRANO,   SAN JUAN CREEK ROAD                                                                    ",16300,226000,213000,16500,227000,214000,
12,5,"ORA"," ",9.6,"SAN JUAN CAPISTRANO, JCT RTE. 74, ORTEGA HIGHWAY EAST                                                      ",16500,227000,214000,17800,244000,230000,
12,5,"ORA"," ",10.91,"SAN JUAN CAPISTRANO,   JUNIPERO SERRA ROAD                                                                    ",17800,244000,230000,18500,251000,237000,
12,5,"ORA"," ",12.94,"AVERY PARKWAY                                                                                                 ",18500,251000,237000,19100,256000,242000,
12,5,"ORA"," ",13.78,"CROWN VALLEY PARKWAY                                                                                          ",19100,256000,242000,20700,279000,263000,
12,5,"ORA"," ",15.22,"OSO PARKWAY                                                                                                   ",20700,279000,263000,21700,290000,274000,
12,5,"ORA"," ",16.53,"LA PAZ ROAD                                                                                                   ",21700,290000,274000,22700,302000,285000,
12,5,"ORA"," ",17.47,"ALICIA PARKWAY                                                                                                ",22700,302000,285000,22800,341000,315000,
12,5,"ORA"," ",18.69,"NIGUEL/EL TORO ROADS                                                                                          ",22800,341000,315000,27000,354000,334000,
12,5,"ORA"," ",19.89,"LAKE FOREST DRIVE                                                                                             ",27000,354000,334000,23500,307000,290000,
12,5,"ORA"," ",21.3,"IRVINE, JCT. RTE. 405,   SANTA ANA FREEWAY                                                                    ",23500,307000,290000,12400,161000,152000,
12,5,"ORA"," ",22.21,"IRVINE, ALTON PARKWAY                                                                                         ",12400,161000,152000,15500,199000,188000,
12,5,"ORA"," ",23.12,"IRVINE, JCT. RTE. 133                                                                                         ",15500,199000,188000,16500,212000,200000,
12,5,"ORA","R",23.94,"IRVINE, SAND CANYON AVENUE                                                                                    ",16500,212000,200000,17500,222000,210000,
12,5,"ORA","R",24.99,"IRVINE, JEFFREY ROAD                                                                                          ",17500,222000,210000,18700,237000,224000,
12,5,"ORA","R",26.58,"IRVINE, CULVER DRIVE                                                                                          ",18700,237000,224000,19500,251000,237000,
12,5,"ORA","R",27.32,"MILEPOST EQUATION   =27.33                                                                                    ",,,,,,,
12,5,"ORA"," ",27.58,"JAMBOREE ROAD                                                                                                 ",19500,251000,237000,18800,246000,232000,
12,5,"ORA","R",29.09,"RED HILL AVENUE                                                                                               ",18800,246000,232000,18700,247000,234000,
12,5,"ORA"," ",29.62,"TUSTIN, NEWPORT AVENUE                                                                                        ",18700,247000,234000,18200,244000,232000,
12,5,"ORA"," ",30.26,"TUSTIN, JCT. RTE. 55,   COSTA MESA FREEWAY                                                                    ",18200,244000,232000,19000,257000,245000,
12,5,"ORA"," ",30.9,"SANTA ANA, FIRST/FOURTH STREETS                                                                               ",19000,257000,245000,17800,245000,233000,
12,5,"ORA"," ",31.76,"SANTA ANA, GRAND AVENUE                                                                                       ",17800,245000,233000,17500,244000,233000,
12,5,"ORA"," ",32.46,"SANTA ANA, 17TH STREET                                                                                        ",17500,244000,233000,17000,240000,229000,
12,5,"ORA"," ",33.09,"SANTA ANA, MAIN STREET                                                                                        ",17000,240000,229000,13500,193000,185000,
12,5,"ORA"," ",34,"ORANGE, JCT. RTES. 22   AND 57, GARDEN GROVE/ORANGE FREEWAYS                                                  ",13500,193000,185000,13800,200000,192000,
12,5,"ORA"," ",34.83,"ORANGE, CHAPMAN AVENUE                                                                                        ",13800,200000,192000,12200,180000,173000,
12,5,"ORA"," ",35.2,"STATE COLLEGE BOULEVARD                                                                                       ",12200,180000,173000,12400,186000,179000,
12,5,"ORA"," ",36.37,"ANAHEIM, KATELLA AVENUE                                                                                       ",12400,186000,179000,11500,172000,165000,
12,5,"ORA"," ",36.61,"ANAHEIM, HASTER STREET                                                                                        ",11500,172000,165000,11700,175000,168000,
12,5,"ORA"," ",37.4,"ANAHEIM, HARBOR BOULEVARD                                                                                     ",11700,175000,168000,11400,171000,163000,
12,5,"ORA"," ",37.67,"ANHEIM, BALL ROAD                                                                                             ",11400,171000,163000,12700,189000,181000,
12,5,"ORA"," ",38.06,"ANAHEIM, SOUTH STREET                                                                                         ",12700,189000,181000,11800,173000,167000,
12,5,"ORA"," ",38.95,"ANAHEIM, LINCOLN AVENUE                                                                                       ",11800,173000,167000,12500,183000,177000,
12,5,"ORA"," ",39.49,"ANAHEIM, EUCLID AVENUE                                                                                        ",12500,183000,177000,12600,182000,177000,
12,5,"ORA"," ",40.71,"ANAHEIM, BROOKHURST STREET                                                                                    ",12600,182000,177000,12300,177000,173000,
12,5,"ORA"," ",42.1,"FULLERTON, JCT. RTE. 91,   RIVERSIDE/ARTESIA FREEWAYS                                                         ",12300,177000,173000,12300,180000,173000,
12,5,"ORA"," ",43.13,"YERBA BUENA, STANTON AVENUE                                                                                   ",12300,180000,173000,12400,180000,173000,
