,,,"Post","Post",,"BackLeg"," ",,"AheadLeg",,,
12,39,"ORA"," ",13.76,"BUENA PARK, LA PALMA AVENUE                                                                                   ",4200,51000,47000,4400,53000,49000,
12,39,"ORA"," ",14.38,"BUENA PARK, JCT. RTE. 91,   ARTESIA FREEWAY                                                                   ",4650,56000,52000,4950,59000,55000,
12,39,"ORA"," ",14.58,"BUENA PARK, ORANGETHORPE AVENUE                                                                               ",4950,59000,55000,3700,44000,41000,
12,39,"ORA"," ",15.07,"BUENA PARK, JCT. RTE. 5,   SANTA ANA FREEWAY                                                                  ","      ","       ","       ","      ","       ","       ",
12,39,"ORA"," ",15.15,"BUENA PARK, MANCHESTER AVENUE                                                                                 ",3550,41500,39000,3800,44500,42000,
12,39,"ORA"," ",15.57,"BUENA PARK, ARTESIA BOULEVARD                                                                                 ",3800,44500,42000,4700,55000,52000,
12,39,"ORA"," ",16.13,"BUENA PARK, STAGE ROAD/CASCADE WAY                                                                            ",5000,58000,55000,4700,57000,52000,
12,39,"ORA"," ",16.38,"BUENA PARK, LA MIRADA BOULEVARD                                                                               ",4700,57000,52000,4500,55000,50000,
12,39,"ORA","D",17.34,"ROSECRANS AVENUE                                                                                              ",4000,49000,45000,3800,47000,43000,
12,39,"ORA"," ",19.17,"LA HABRA, JCT. RTE. 90   EAST, IMPERIAL HIGHWAY                                                               ",3300,41000,37000,2700,34000,31000,
12,39,"ORA"," ",19.67,"LA HABRA, LAMBERT ROAD                                                                                        ",2650,33500,30500,2750,32500,31500,
12,39,"ORA"," ",20.72,"LA HABRA, WHITTIER   BOULEVARD, JCT. RTE. 72                                                                  ",2100,25000,24000,3350,39500,38500,
12,39,"ORA"," ",20.88,"LA HABRA, HACIENDA BOULEVARD                                                                                  ",3350,39500,38500,2550,30500,29500,
12,39,"ORA"," ",22.6,"LA HABRA, HARBOR BOULEVARD                                                                                    ",2300,27000,26000,"      ","       ","       ",
12,39,"ORA"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
7,39," LA"," ","       ","LOS ANGELES COUNTY                                                                                            ","      ","       ","       ","      ","       ","       ",
7,39," LA"," ",10.71,"WEST COVINA, JCT. RTE. 10,   SAN BERNARDINO FREEWAY                                                           ","      ","       ","       ",3150,45000,44000,
7,39," LA"," ",11.84,"COVINA, SAN BERNARDINO ROAD                                                                                   ",2800,35500,34500,2950,36000,35000,
7,39," LA"," ",13.1,"ARROW HIGHWAY                                                                                                 ",2600,30500,30000,2350,27000,26500,
7,39," LA"," ",14.05,"AZUSA, JCT. RTE. 210,   FOOTHILL FREEWAY                                                                      ",3050,34500,33500,3200,35000,34000,
7,39," LA"," ",14.11,"AZUSA, FIRST STREET                                                                                           ",3200,35000,34000,2000,24400,23800,
7,39," LA"," ",14.16,"AZUSA, AZUSA COUPLET (VIA   AZUSA AND SAN GABRIEL AVENUES)                                                    ",2000,24400,23800,"      ","       ","       ",
7,39," LA"," ",14.16,"C O U P L E T . . NORTHBOUND . . . ONE WAY TRAV                                                               ","      ","       ","       ","      ","       ","       ",
7,39," LA"," ",14.16,"AZUSA, ON AZUSA AVENUE AT SA  ROAD NORTH OF FIRST STREET                                                      ","      ","       ","       ",1150,12400,12100,
7,39," LA"," ",14.95,"AZUSA, ON AZUSA AVENUE   AT FOOTHILL BOULEVARD                                                                ",980,10700,10500,810,8900,8700,
7,39," LA"," ",15.86,"AZUSA, ON SAN GABRIEL CAN=   YON ROAD AT SIERRA MADRE AVENUE                                                  ",470,5100,5000,270,2950,2900,
7,39," LA"," ",15.93,"AZUSA, END AZUSA COUPLET                                                                                      ",270,2950,2900,"      ","       ","       ",
7,39," LA"," ",14.16,"C O U P L E T . . SOUTHBOUND . . . ONE WAY TRAV                                                               ","      ","       ","       ","      ","       ","       ",
7,39," LA"," ",14.16,"AZUSA, ON SAN GABRIEL AVENUE  AVENUE NORTH OF FIRST STREET                                                    ","      ","       ","       ",1100,12000,11800,
7,39," LA"," ",14.95,"AZUSA, ON SAN GABRIEL   AVENUE AT FOOTHILL BOULEVARD                                                          ",940,10200,10000,770,8400,8200,
7,39," LA"," ",15.86,"AZUSA, ON SAN GABRIEL   AVENUE AT SIERRA MADRE AVENUE                                                         ",470,5100,5000,230,2550,2500,
7,39," LA"," ",15.93,"AZUSA, END AZUSA COUPLET                                                                                      ",230,2550,2500,"      ","       ","       ",
7,39," LA"," ",15.93,"C O U P L E T . . END . . . . BEGIN TWO WAY TRA                                                               ","      ","       ","       ","      ","       ","       ",
7,39," LA"," ",15.93,"AZUSA, END AZUSA COUPLET                                                                                      ","      ","       ","       ",510,5600,5400,
7,39," LA"," ",16.77,"AZUSA, AZUSA/SAN GABRIEL   CANYON ROADS (SAN GABRIEL CANYON BRIDG                                             ",510,5600,5400,870,4050,3000,
7,39," LA"," ",19.73,"MORRIS DAM ROAD, NAVAL   ORDNANCE TEST STATION                                                                ",420,3150,2350,540,2200,2100,
7,39," LA"," ",25.71,"EAST FORK ROAD                                                                                                ",390,1550,1500,210,830,800,
7,39," LA","T",32.14,"MILEPOST EQUATION  =32.34                                                                                     ",,,,,,,
7,39," LA"," ",32.49,"COLDBROOK RANGER STATION                                                                                      ",80,320,310,80,320,310,
7,39," LA"," ",38.15,"CRYSTAL LAKE ROAD                                                                                             ",80,330,310,30,130,120,
7,39," LA"," ",38.5,"(CLOSED-LANDSLIDE AHEAD)                                                                                      ","      ","       ","       ","      ","       ","       ",
7,39," LA"," ",44.4,"ISLIP SADDLE, JCT. RTE. 2,   ANGELES FOREST HIGHWAY                                                           ","      ","       ","       ","      ","       ","       ",
8,40,"SBD"," ","       ","SAN BERNARDINO COUNTY                                                                                         ","      ","       ","       ","      ","       ","       ",
8,40,"SBD"," ",0,"BARSTOW, JCT. RTE. 15, EAST   BARSTOW INTERCHANGE; BEGIN FREEWAY                                              ","      ","       ","       ",1100,19500,16000,
8,40,"SBD"," ",0.79,"BARSTOW, MONTARA AVENUE INTERCHANGE                                                                           ",1100,19500,16000,1450,22000,18000,
8,40,"SBD","R",2.35,"MAIN STREET INTERCHANGE   (TO NEBO MARINE CORPS SUPPLY CENTER)                                                ",1450,22000,18000,1450,17700,14500,
8,40,"SBD","R",4.71,"NEBO STREET INTERCHANGE                                                                                       ",1450,17700,14500,1450,16000,13200,
8,40,"SBD","R",7.18,"A STREET INTERCHANGE                                                                                          ",1450,16000,13200,1250,13600,11300,
8,40,"SBD","R",12.19,"AIRPORT ROAD INTERCHANGE                                                                                      ",1250,13600,11300,1250,13400,11200,
8,40,"SBD","R",18.45,"WEST NEWBERRY ROAD INTERCHANGE                                                                                ",1250,13400,11200,1250,13200,11000,
8,40,"SBD","R",23.33,"FORT CADY ROAD INTERCHANGE                                                                                    ",1250,13200,11000,1300,13500,11200,
8,40,"SBD","R",28.48,"DESERT OASIS SAFETY   ROADSIDE REST AREAS                                                                     ","      ","       ","       ","      ","       ","       ",
8,40,"SBD","R",32.5,"HECTOR ROAD INTERCHANGE                                                                                       ",1300,13500,11200,1300,13300,11100,
8,40,"SBD","R",49.99,"CRUCERO ROAD INTERCHANGE                                                                                      ",1300,13300,11100,1200,13200,11000,
8,40,"SBD","R",78.17,"KELBAKER ROAD INTERCHANGE                                                                                     ",1200,13200,11000,1200,13200,11000,
8,40,"SBD","R",99.73,"ESSEX ROAD INTERCHANGE                                                                                        ",1200,13200,11000,1150,13200,11000,
8,40,"SBD","R",105.5,"FENNER SAFETY   ROADSIDE REST AREAS                                                                           ","      ","       ","       ","      ","       ","       ",
8,40,"SBD","R",107.17,"GOFFS ROAD INTERCHANGE                                                                                        ",1150,13200,11000,1200,13800,12100,
8,40,"SBD","R",115.2,"MOUNTAIN SPRINGS ROAD INTERCHANGE                                                                             ",1200,13800,12100,1200,14000,12200,
8,40,"SBD","R",119.98,"WATER ROAD INTERCHANGE                                                                                        ",1200,14000,12200,1200,14100,12300,
8,40,"SBD","R",132.74,"JCT. RTE. 95 NORTH,   (TO SEARCHLIGHT NEVADA)                                                                 ",1200,14100,12300,1350,16000,14000,
8,40,"SBD","R",139.12,"NEEDLES, PARK ROAD INTERCHANGE                                                                                ",1350,16000,14000,1250,14800,13000,
8,40,"SBD","R",141.02,"RIVER ROAD INTERCHANGE                                                                                        ",1250,14800,13000,1100,13200,11800,
8,40,"SBD","R",142.37,"NEEDLES, J STREET INTERCHANGE                                                                                 ",1100,13200,11800,1150,13800,12500,
8,40,"SBD","R",143.76,"NEEDLES, JCT. RTE. 95 SOUTH                                                                                   ",1150,13800,12500,930,11600,10600,
8,40,"SBD"," ",148.2,"FIVE MILE ROAD                                                                                                ",930,11600,10600,940,11800,10800,
8,40,"SBD","R",153.32,"PARK MOABI ROAD INTERCHANGE                                                                                   ",940,11800,10800,910,11500,10500,
8,40,"SBD","R",154.64,"ARIZONA STATE LINE   (COLORADO RIVER BRIDGE)                                                                  ",910,11500,10500,"      ","       ","       ",
5,41,"SLO"," ","       ","SAN LUIS OBISPO COUNTY                                                                                        ","      ","       ","       ","      ","       ","       ",
5,41,"SLO"," ",0,"JCT. RTE. 1; MORRO BAY, NORTH                                                                                 ","      ","       ","       ",780,9900,8800,
5,41,"SLO"," ",7.23,"CERRO ALTO ROAD                                                                                               ",780,9900,8800,770,9200,8500,
5,41,"SLO"," ",14.52,"ATASCADERO, SANTA ROSA ROAD                                                                                   ",770,9200,8500,880,9300,8700,
5,41,"SLO"," ",15.89,"ATASCADERO, JCT. RTE. 101                                                                                     ",1650,17500,16400,2350,24700,23000,
5,41,"SLO"," ",16.47,"ATASCADERO, OLMEDA STREET                                                                                     ",2350,24700,23000,300,3150,2900,
5,41,"SLO"," ",18.44,"SALINAS RIVER BRIDGE                                                                                          ",280,2650,2500,280,2650,2500,
5,41,"SLO"," ",19.13,"TEMPLETON-VASA ROAD                                                                                           ",280,2650,2500,210,2900,1900,
5,41,"SLO"," ",27.98,"JCT. RTE. 229 SOUTH (TO CRESTON)                                                                              ",210,2900,1900,70,870,600,
5,41,"SLO"," ",41.16,"MC MILLAN CANYON ROAD; SHANDON, WEST                                                                          ",60,800,510,70,870,690,
5,41,"SLO"," ",43.81,"WEST JCT. RTE. 46; SHANDON, EAST                                                                              ",70,870,690,"      ","       ","       ",
5,41,"SLO"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
5,41,"SLO"," ",43.85,"EAST JCT. RTE. 46; CHOLOME, EAST                                                                              ","      ","       ","       ",1000,8500,5900,
5,41,"SLO"," ",50.43,"SAN LUIS OBISPO-KERN   COUNTY LINE                                                                            ",1000,8500,5900,"      ","       ","       ",
6,41,"KER"," ",0,"SAN LUIS OBISPO-KERN   COUNTY LINE                                                                            ","      ","       ","       ",1000,8500,5900,
6,41,"KER"," ",4.98,"KERN COUNTY                                                                                                   ","      ","       ","       ","      ","       ","       ",
6,41,"KIN"," ",0,"KINGS COUNTY REEF CITY, JCT. RTE. 33                                                                          ",910,8500,5500,550,7300,4750,
6,41,"KIN"," ",16.27,"JCT. RTE. 5                                                                                                   ",550,7300,4750,1050,8900,7400,
6,41,"KIN"," ",16.72,"BERNARD DRIVE                                                                                                 ",1050,8900,7400,560,6500,5400,
6,41,"KIN"," ",20.08,"QUAIL AVENUE                                                                                                  ",560,6500,5400,660,7700,6400,
6,41,"KIN"," ",28.43,"NEVADA AVENUE/COALINGO ROAD                                                                                   ",530,6100,5100,600,7000,5800,
6,41,"KIN","R",37.79,"JACKSON AVENUE                                                                                                ",640,7400,6200,890,9200,7700,
6,41,"KIN","R",38.13,"MILEPOST EQUATION   =38.44                                                                                    ",,,,,,,
6,41,"KIN"," ",40,"JCT. RTE. 198                                                                                                 ",890,9200,7700,980,12400,11600,
6,41,"KIN"," ",41.07,"HOUSTON AVENUE                                                                                                ",980,12400,11600,1300,16300,15200,
6,41,"KIN","R",42.15,"BELLI CORNER, HANFORD-ARMONA ROAD                                                                             ",1000,12800,12000,1050,13200,12300,
6,41,"KIN","R",44.15,"GRANGEVILLE BOULEVARD                                                                                         ",1050,13200,12300,990,12400,11600,
6,41,"KIN","R",48.28,"KINGS COUNTY                                                                                                  ","      ","       ","       ","      ","       ","       ",
6,41,"FRE","R",0,"FRESNO COUNTY   (EXCELSIOR AVENUE INTERCHANGE)                                                                ",580,8500,7100,580,8500,7100,
6,41,"FRE","R",2.03,"MOUNT WHITNEY AVENUE                                                                                          ",580,8500,7100,690,10200,8500,
6,41,"FRE","R",6.19,"MILEPOST EQUATION   =7.11                                                                    ",,,,,,,
6,41,"FRE"," ",11,"MOUNTAIN VIEW AVENUE                                                                                          ",710,10500,8800,740,10900,9300,
6,41,"FRE"," ",15,"MANNING AVENUE                                                                                                ",960,14000,12000,970,14100,12100,
6,41,"FRE"," ",18.5,"EASTON, JEFFERSON AVENUE                                                                                      ",1400,20700,17700,1400,20700,17700,
6,41,"FRE"," ",20.99,"FRESNO, NORTH AVENUE                                                                                          ",1300,19000,16300,1050,14700,13700,
6,41,"FRE","L",22.3,"FRESNO, JENSEN AVENUE                                                                                         ",1500,20800,19300,1950,27000,25000,
6,41,"FRE","L",22.5,"FRESNO, SOUTH CHERRY AVENUE                                                                                   ",1950,27000,25000,2050,28500,26500,
6,41,"FRE","L",22.93,"FRESNO, SOUTH JCT. RTE. 99                                                                                    ",2250,31500,29500,"      ","       ","       ",
6,41,"FRE"," ","       ","  (BREAK IN ROUTE)                                                                                            ","      ","       ","       ","      ","       ","       ",
6,41,"FRE","T",21.9,"FRESNO, JCT. RTE. 99; BEGIN FREEWAY                                                                           ","      ","       ","       ",4500,50000,49000,
6,41,"FRE","R",22.8,"FRESNO, M STREET                                                                                              ",4500,50000,49000,5300,57000,56000,
6,41,"FRE","R",23.27,"FRESNO, JCT. RTE. 180                                                                                         ",5300,57000,56000,6700,67000,66000,
6,41,"FRE","R",23.74,"FRESNO, TULARE/DIVISADERO   STREETS INTERCHANGE                                                               ",6700,67000,66000,9600,98000,95000,
6,41,"FRE","R",24.53,"FRESNO, JCT. RTE. 180S                                                                                        ",9600,98000,95000,10900,111000,108000,
6,41,"FRE","R",25.26,"FRESNO, MC KINLEY AVENUE                                                                                      ",10900,111000,108000,12000,123000,119000,
6,41,"FRE","R",26.46,"FRESNO, SHIELDS AVENUE                                                                                        ",12000,123000,119000,12400,127000,123000,
6,41,"FRE","R",27.47,"FRESNO, ASHLAN AVENUE                                                                                         ",12400,127000,123000,11900,122000,118000,
6,41,"FRE","R",28.47,"FRESNO, SHAW AVENUE,   JCT. RTE. 168                                                                          ",11900,122000,118000,9900,101000,98000,
6,41,"FRE","R",29.46,"FRESNO, BULLARD AVENUE                                                                                        ",9900,101000,98000,7500,82000,75000,
6,41,"FRE","R",30.45,"FRESNO, HERNDON AVENUE                                                                                        ",7500,82000,75000,4500,49000,45000,
6,41,"FRE","R",31.68,"FRESNO, FRIANT ROAD                                                                                           ",4500,49000,45000,2400,26000,24600,
6,41,"FRE"," ",33.45,"FRESNO COUNTY (SAN JOAQUIN   RIVER)                                                                           ","      ","       ","       ","      ","       ","       ",
6,41,"MAD"," ",0,"MADERA COUNTY AVENUE 12/POLE LINE ROAD                                                                        ",2350,26000,24500,1250,12200,11000,
6,41,"MAD"," ",9.25,"JCT. RTE. 145 WEST,   MADERA-FRIANT ROAD                                                                      ",1250,12200,11000,1000,9900,9000,
6,41,"MAD"," ",17.91,"NORTH FORK ROAD                                                                                               ",1000,9900,9000,1000,10000,9100,
6,41,"MAD"," ",35.48,"JCT. RTE. 49 NORTH                                                                                            ",1500,15800,13400,2450,26000,22000,
6,41,"MAD"," ",35.77,"OAKHURST, COUNTY ROAD 426                                                                                     ",2450,26000,22000,2000,21300,18000,
6,41,"MAD"," ",38.89,"YOSEMITE FORKS, BASS LAKE ROAD                                                                                ",1200,14900,11000,680,6500,5000,
6,41,"MAD"," ",45.74,"MADERA COUNTY                                                                                                 ","      ","       ","       ","      ","       ","       ",
6,41,"MPA"," ",0,"MARIPOSA COUNTY                                                                                               ","      ","       ","       ","      ","       ","       ",
6,41,"MPA"," ",4.92,"FISH CAMP, ENTRANCE TO   YOSEMITE NATIONAL PARK                                                               ",420,4400,2550,"      ","       ","       ",
7,42," LA"," ","       ","LOS ANGELES COUNTY                                                                                            ","      ","       ","       ","      ","       ","       ",
7,42," LA"," ",0,"WESTCHESTER, JCT. RTE. 1,   LINCOLN BOULEVARD                                                                 ","      ","       ","       ",2100,23600,22500,
7,42," LA"," ",1.32,"WESTCHESTER, SEPULVEDA BOULEVARD                                                                              ",2100,23600,22500,2550,28500,27000,
7,42," LA"," ",1.6,"WESTCHESTER, LA TIJERA BOULEVARD                                                                              ",2550,28500,27000,2450,28000,26000,
7,42," LA","G",2.38,"LOS ANGELES/INGLEWOOD CITY LIMITS                                                                             ",3450,40000,37000,"      ","       ","       ",
7,42," LA"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
7,42," LA"," ",5.93,"INGLEWOOD/LOS ANGELES CITY LIMITS                                                                             ","      ","       ","       ",3400,41500,38000,
7,42," LA"," ",6.42,"LOS ANGELES, WESTERN AVENUE                                                                                   ",3400,41500,38000,3150,39500,36000,
7,42," LA"," ",7.42,"LOS ANGELES, VERMONT AVENUE                                                                                   ",3250,42000,38000,3350,44000,40000,
7,42," LA"," ",7.93,"LOS ANGELES, FIGUEROA STREET                                                                                  ",3500,47000,42500,3300,45500,41000,
7,42," LA"," ",8.04,"LOS ANGELES, JCT. RTE.   110, HARBOR FREEWAY                                                                  ",3300,45500,41000,3200,44000,40000,
7,42," LA"," ",8.19,"LOS ANGELES, BROADWAY                                                                                         ",3200,44000,40000,2950,41000,40000,
7,42," LA"," ",9.44,"LOS ANGELES, CENTRAL AVENUE                                                                                   ",2500,34000,33500,2150,29500,29000,
7,42," LA","G",9.5,"LOS ANGELES CITY LIMITS                                                                                       ",2150,29500,29000,"      ","       ","       ",
6,43,"KER"," ","       ","KERN COUNTY                                                                                                   ","      ","       ","       ","      ","       ","       ",
6,43,"KER"," ",0.11,"JCT. RTE. 119, TAFT HIGHWAY                                                                                   ","      ","       ","       ",420,4100,3800,
6,43,"KER"," ",1.9,"JCT. RTE. 5                                                                                                   ",420,4100,3800,420,4150,3800,
6,43,"KER"," ",8.11,"JCT. RTE. 58 EAST, ROSEDALE HIGHWAY                                                                           ",340,3400,3100,1150,10900,9600,
6,43,"KER"," ",9.16,"BAKERSFIELD-MC KITTRICK   HIGHWAY, JCT. RTE. 58 WEST                                                          ",1150,10900,9600,270,2400,2200,
6,43,"KER"," ",12.19,"7TH STANDARD ROAD                                                                                             ",370,3400,3000,260,2450,2150,
6,43,"KER"," ",15.89,"CENTRAL VALLEY HIGHWAY                                                                                        ",300,3050,2900,770,7800,7400,
6,43,"KER"," ",16.55,"SHAFTER, EAST LERDO HIGHWAY                                                                                   ",770,7800,7400,920,9400,8900,
6,43,"KER"," ",16.86,"SHAFTER, CENTRAL AVENUE                                                                                       ",770,7800,7400,850,8600,8200,
6,43,"KER"," ",17.17,"SHAFTER, SHAFTER AVENUE                                                                                       ",790,8000,7600,880,8900,8500,
6,43,"KER"," ",17.95,"FRESNO AVENUE                                                                                                 ",890,9000,8600,880,8900,8600,
6,43,"KER","R",21.29,"WASCO AVENUE                                                                                                  ",630,6400,6100,620,6300,6000,
6,43,"KER","R",24.12,"WASCO, POSO AVENUE                                                                                            ",470,5500,5200,410,4750,4500,
6,43,"KER","R",25.13,"WASCO, WEST JCT. RTE. 46,   FAMOSO HIGHWAY                                                                    ",640,7500,7100,"      ","       ","       ",
6,43,"KER"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
6,43,"KER"," ",25.19,"WASCO, EAST JCT. RTE. 46, FAMOSO HIGHWAY                                                                      ","      ","       ","       ",220,2550,2400,
6,43,"KER"," ",33.47,"POND ROAD                                                                                                     ",210,2450,2300,160,1900,1800,
6,43,"KER"," ",36.67,"KERNELL, GARCES HIGHWAY                                                                                       ",160,1900,1800,140,1600,1500,
6,43,"KER"," ",38.81,"KERN COUNTY ALPAUGH ROAD (AVENUE 56)                                                                          ",160,2050,1800,150,1900,1700,
6,43,"KER","R",22.13,"MILEPOST EQUATION  =22.11                                                                                     ",,,,,,,
6,43,"KER"," ",22.13,"CORCORAN, RAILROAD DRIVE                                                                                      ",220,2850,2500,180,2400,2100,
6,43,"TUL"," ",22.67,"TULARE COUNTY                                                                                                 ","      ","       ","       ","      ","       ","       ",
6,43,"KIN"," ",0,"KINGS COUNTY                                                                                                  ","      ","       ","       ","      ","       ","       ",
6,43,"KIN"," ",1.46,"JCT. RTE. 137,   CORCORAN-TULARE ROAD                                                                         ",180,2400,2100,320,4150,3700,
6,43,"KIN"," ",3.18,"NORTH END CORCORAN BYPASS                                                                                     ",320,4150,3700,480,6200,5500,
6,43,"KIN"," ",10.36,"KANSAS AVENUE                                                                                                 ",640,8300,7400,690,8800,7900,
6,43,"KIN"," ",16.39,"HOUSTON AVENUE                                                                                                ",650,8300,7400,650,8400,7500,
6,43,"KIN"," ",18.24,"JCT. RTE. 198                                                                                                 ",590,7300,6800,520,5900,5400,
6,43,"KIN"," ",18.43,"LACEY BOULEVARD                                                                                               ",520,5900,5400,790,9000,8200,
6,43,"KIN"," ",19.43,"GRANGEVILLE BOULEVARD                                                                                         ",530,6100,5500,470,5900,5500,
6,43,"KIN"," ",22.27,"10TH AVENUE                                                                                                   ",450,5600,5200,770,9600,9000,
6,43,"KIN"," ",24.47,"EXCELSIOR AVENUE                                                                                              ",680,8400,7900,720,9000,8400,
6,43,"FRE"," ",27.29,"KINGS COUNTY-FRESNO COUNTY                                                                                    ",700,8800,8200,690,8700,8100,
6,43,"FRE"," ",8.34,"NEBRASKA AVENUE                                                                                               ",800,10000,9400,1100,13700,12800,
6,43,"FRE"," ",9.31,"JCT. RTE. 99; SELMA, WEST                                                                                     ",1100,13700,12800,"      ","       ","       ",
2,44,"SHA"," ","       ","SHASTA COUNTY                                                                                                 ","      ","       ","       ","      ","       ","       ",
2,44,"SHA","R",0,"REDDING, JCT. RTE. 5, JCT.   RTE. 299 WEST; BEGIN FREEWAY                                                     ","      ","       ","       ",3700,39000,36500,
2,44,"SHA","R",0.13,"REDDING, HILLTOP DRIVE INTERCHANGE                                                                            ",3700,39000,36500,2900,29500,28000,
2,44,"SHA","R",1.24,"REDDING, VICTOR AVENUE                                                                                        ",2900,29500,28000,2650,27000,26500,
2,44,"SHA","R",2.13,"SHASTA VIEW DRIVE                                                                                             ",2650,27000,26500,2000,19500,18900,
2,44,"SHA","R",3.63,"AIRPORT ROAD                                                                                                  ",2000,19500,18900,1850,14100,13900,
2,44,"SHA","R",3.8,"END FREEWAY                                                                                                   ",,,,,,,
2,44,"SHA","R",7,"DESCHUTES ROAD   (ANDERSON-BELLA VISTA ROAD)                                                                  ",1450,13700,13000,690,7700,7000,
2,44,"SHA","R",10.77,"OLD HIGHWAY TO MILLVILLE                                                                                      ",560,6600,5900,490,4900,3750,
2,44,"SHA","R",19.01,"DERSCH ROAD (TO ANDERSON)                                                                                     ",500,4800,4000,470,4250,3850,
2,44,"SHA","R",27.83,"SHINGLETOWN                                                                                                   ",470,4250,3850,380,4200,3700,
2,44,"SHA","R",28.2,"MILEPOST EQUATION  =32.00                                                                                     ",,,,,,,
2,44,"SHA"," ",34.67,"SHINGLETOWN SAFETY   ROADSIDE REST AREA                                                                       ","      ","       ","       ","      ","       ","       ",
2,44,"SHA"," ",42.82,"VIOLA                                                                                                         ",400,2800,2000,320,2550,1700,
2,44,"SHA","R",49.35,"ENTRANCE TO LASSEN VOLCANIC   NATIONAL PARK, WEST BOUNDARY                                                    ",320,2550,1700,340,2450,1700,
2,44,"SHA","R",49.55,"MILEPOST EQUATION  =49.43                                                                                     ",,,,,,,
2,44,"SHA"," ",62.69,"JCT. RTE. 89 NORTH                                                                                            ",270,2550,1500,400,3350,2200,
2,44,"SHA"," ",71.39,"SHASTA COUNTY                                                                                                 ","      ","       ","       ","      ","       ","       ",
2,44,"LAS"," ",14.53,"BOGARD SAFETY   ROADSIDE REST AREA                                              ",,,,,,,
2,44,"LAS"," ",19.29,"WESTWOOD, ROAD A-21                                                                                           ",400,3350,2200,290,2750,1800,
2,44,"LAS"," ",37.25,"JCT. RTE. 36; SUSANVILLE, WEST                                                                                ",290,2750,1800,"      ","       ","       ",
3,45,"YOL"," ","       ","YOLO COUNTY                                                                                                   ","      ","       ","       ","      ","       ","       ",
3,45,"YOL"," ",0,"KNIGHTS LANDING, JCT. RTE. 113                                                                                ","      ","       ","       ",140,1050,910,
3,45,"YOL"," ",0.27,"COUNTY ROAD 108                                                                                               ",140,1050,910,140,1150,990,
3,45,"YOL"," ",5.8,"COUNTY ROAD P98 A                                                                                             ",140,1150,990,50,680,480,
3,45,"COL"," ",12.92,"YOLO COUNTY -COLUSA COUNTY                                                                                    ",50,680,480,20,420,320,
3,45,"COL"," ",7.37,"TULE ROAD                                                                                                     ",20,420,320,20,310,260,
3,45,"COL"," ",12.87,"GRIMES-ARBUCKLE ROAD                                                                                          ",60,770,660,60,900,760,
3,45,"COL"," ",18.47,"SYCAMORE CUTOFF ROAD                                                                                          ",100,1450,1100,110,1400,1000,
3,45,"COL"," ",19.84,"SOUTH JCT. RTE. 20                                                                                            ",110,1400,1000,"      ","       ","       ",
3,45,"COL"," ","       ","(BREAK IN ROUTE)                                                                                              ","      ","       ","       ","      ","       ","       ",
3,45,"COL"," ",19.85,"COLUSA, NORTH JCT. RTE. 20                                                                                    ","      ","       ","       ",850,8100,7200,
3,45,"COL"," ",20.08,"LURLINE AVENUE                                                                                                ",610,5900,5200,450,5500,4900,
3,45,"COL"," ",24.53,"MAXWELL-COLUSA ROAD                                                                                           ",350,4150,3450,190,3300,2500,
3,45,"COL"," ",32.06,"COUNTY ROAD P29                                                                                               ",190,3300,2500,210,2650,2350,
3,45,"COL"," ",34.18,"COLUSA COUNTY                                                                                                 ","      ","       ","       ","      ","       ","       ",
3,45,"GLE"," ",0,"GLENN COUNTY JCT. RTE. 162 EAST                                                                               ",210,2650,2350,190,1900,1600,
3,45,"GLE"," ",7.53,"JCT. RTE. 162 WEST                                                                                            ",190,1900,1600,250,2500,2200,
3,45,"GLE"," ",11.87,"COUNTY ROAD P39                                                                                               ",250,2500,2200,190,2150,1800,
3,45,"GLE"," ",17.19,"COUNTY ROAD 29 (MICHAEL ROAD)                                                                                 ",190,2150,1800,170,2200,1850,
3,45,"GLE","R",20.59,"COUNTY ROAD 24                                                                                                ",170,2200,1850,160,2350,2000,
3,45,"GLE","R",21.12,"MILEPOST EQUATION   =21.14                                                                                    ",,,,,,,
3,45,"GLE"," ",22.68,"HAMILTON CITY, WEST 1ST STREET                                                                                ",160,2350,2000,230,2900,2250,
3,45,"GLE"," ",23.23,"HAMILTON CITY, JCT. RTE. 32                                                                                   ",230,2900,2250,"      ","       ","       ",
5,46,"SLO"," ","       ","SAN LUIS OBISPO COUNTY                                                                                        ","      ","       ","       ","      ","       ","       ",
5,46,"SLO","R",0.15,"JCT. RTE. 1, PACIFIC COAST HIGHWAY                                                                            ","      ","       ","       ",280,3050,2600,
5,46,"SLO","R",2.37,"GREEN VALLEY ROAD                                                                                             ",280,3050,2600,270,2900,2500,
5,46,"SLO","R",11.47,"CYPRESS MOUNTAIN DRIVE                                                                                        ",270,2900,2500,300,2800,2400,
5,46,"SLO","R",12.66,"DOVER CANYON ROAD                                                                                             ","      ","       ","       ","      ","       ","       ",
5,46,"SLO","R",15.53,"YORK MOUNTAIN ROAD                                                                                            ",300,2800,2400,300,2800,2400,
5,46,"SLO","R",17.4,"VINEYARD DRIVE                                                                                                ",300,2800,2400,480,5400,4500,
